unique_id,ds,demand,sales,is_available
0,2020-01-01,0.0,0.0,0.0
0,2020-01-02,0.0,0.0,1.0
0,2020-01-03,1.78547,1.78547,1.0
0,2020-01-04,1.2321935,0.0,0.0
0,2020-01-05,2.6396081,0.0,0.0
0,2020-01-06,1.7328378,1.7328378,1.0
0,2020-01-07,1.1555171,1.1555171,1.0
0,2020-01-08,1.9763832,1.9763832,1.0
0,2020-01-09,3.2672455,3.2672455,1.0
0,2020-01-10,3.0758753,3.0758753,1.0
0,2020-01-11,2.8998775,0.0,0.0
0,2020-01-12,2.9111547,0.0,0.0
0,2020-01-13,2.6161587,0.0,0.0
0,2020-01-14,2.2240896,2.2240896,1.0
0,2020-01-15,1.7762437,1.7762437,1.0
0,2020-01-16,2.247411,2.247411,1.0
0,2020-01-17,3.3194678,3.3194678,1.0
0,2020-01-18,2.4415643,2.4415643,1.0
0,2020-01-19,1.9179723,0.0,0.0
0,2020-01-20,0.42548156,0.0,0.0
0,2020-01-21,0.88778305,0.0,0.0
0,2020-01-22,0.90952253,0.90952253,1.0
0,2020-01-23,1.669252,1.669252,1.0
0,2020-01-24,2.250825,2.250825,1.0
0,2020-01-25,3.11413,3.11413,1.0
0,2020-01-26,3.4895782,3.4895782,1.0
0,2020-01-27,2.7327173,0.0,0.0
0,2020-01-28,0.45449734,0.0,0.0
0,2020-01-29,1.9008574,0.0,0.0
0,2020-01-30,2.4825563,0.0,0.0
0,2020-01-31,3.132791,0.0,0.0
0,2020-02-01,3.043646,3.043646,1.0
0,2020-02-02,0.8224859,0.0,0.0
0,2020-02-03,0.9012958,0.9012958,1.0
0,2020-02-04,1.7161481,0.0,0.0
0,2020-02-05,1.3527749,1.3527749,1.0
0,2020-02-06,2.330401,2.330401,1.0
0,2020-02-07,2.5701673,0.0,0.0
0,2020-02-08,1.9203148,1.9203148,1.0
0,2020-02-09,2.5471818,2.5471818,1.0
0,2020-02-10,1.7452292,0.0,0.0
0,2020-02-11,1.914408,1.914408,1.0
0,2020-02-12,1.4559023,0.0,0.0
0,2020-02-13,2.2418826,2.2418826,1.0
0,2020-02-14,1.9346981,1.9346981,1.0
0,2020-02-15,2.2099018,2.2099018,1.0
0,2020-02-16,1.7175288,1.7175288,1.0
0,2020-02-17,1.565706,1.565706,1.0
0,2020-02-18,0.8526983,0.8526983,1.0
0,2020-02-19,1.3055025,1.3055025,1.0
0,2020-02-20,1.9170635,1.9170635,1.0
0,2020-02-21,1.5649524,0.0,0.0
0,2020-02-22,1.8491442,1.8491442,1.0
0,2020-02-23,0.98916864,0.0,0.0
0,2020-02-24,1.3023157,1.3023157,1.0
0,2020-02-25,1.4328539,0.0,0.0
0,2020-02-26,2.0133643,2.0133643,1.0
0,2020-02-27,2.2770898,0.0,0.0
0,2020-02-28,2.6065629,2.6065629,1.0
0,2020-02-29,2.8582747,2.8582747,1.0
0,2020-03-01,1.924803,1.924803,1.0
0,2020-03-02,2.0668578,0.0,0.0
0,2020-03-03,1.8830001,0.0,0.0
0,2020-03-04,1.7428102,1.7428102,1.0
0,2020-03-05,1.1669942,1.1669942,1.0
0,2020-03-06,2.8494048,0.0,0.0
0,2020-03-07,3.176907,3.176907,1.0
0,2020-03-08,2.7988317,0.0,0.0
0,2020-03-09,1.9092882,0.0,0.0
0,2020-03-10,1.2725044,1.2725044,1.0
0,2020-03-11,1.0702262,0.0,0.0
0,2020-03-12,1.0704689,1.0704689,1.0
0,2020-03-13,1.7493106,0.0,0.0
0,2020-03-14,2.2306411,2.2306411,1.0
0,2020-03-15,2.4936926,0.0,0.0
0,2020-03-16,1.5910108,0.0,0.0
0,2020-03-17,1.6939908,0.0,0.0
0,2020-03-18,0.9253304,0.9253304,1.0
0,2020-03-19,1.5727531,1.5727531,1.0
0,2020-03-20,1.427793,1.427793,1.0
0,2020-03-21,1.3031261,1.3031261,1.0
0,2020-03-22,1.3699522,1.3699522,1.0
0,2020-03-23,0.79569864,0.0,0.0
0,2020-03-24,0.0,0.0,0.0
0,2020-03-25,0.115771115,0.0,0.0
0,2020-03-26,0.62878466,0.0,0.0
0,2020-03-27,1.3001057,0.0,0.0
0,2020-03-28,1.9308351,1.9308351,1.0
0,2020-03-29,0.9565618,0.9565618,1.0
0,2020-03-30,0.93955684,0.93955684,1.0
0,2020-03-31,0.81639135,0.81639135,1.0
0,2020-04-01,1.3425936,1.3425936,1.0
0,2020-04-02,1.9001191,1.9001191,1.0
0,2020-04-03,1.7702923,0.0,0.0
0,2020-04-04,2.9211683,0.0,0.0
0,2020-04-05,2.2927127,2.2927127,1.0
0,2020-04-06,1.2633083,0.0,0.0
0,2020-04-07,0.91666126,0.0,0.0
0,2020-04-08,1.3526247,0.0,0.0
0,2020-04-09,0.6556329,0.6556329,1.0
0,2020-04-10,2.2742686,2.2742686,1.0
0,2020-04-11,2.074243,2.074243,1.0
0,2020-04-12,1.0451007,1.0451007,1.0
0,2020-04-13,0.8171389,0.8171389,1.0
0,2020-04-14,1.2871025,0.0,0.0
0,2020-04-15,1.7049015,0.0,0.0
0,2020-04-16,1.2500391,1.2500391,1.0
0,2020-04-17,2.4188018,2.4188018,1.0
0,2020-04-18,1.5008008,0.0,0.0
0,2020-04-19,1.1041114,1.1041114,1.0
0,2020-04-20,1.4575994,1.4575994,1.0
0,2020-04-21,0.015268981,0.0,0.0
0,2020-04-22,1.0423398,1.0423398,1.0
0,2020-04-23,1.3406354,0.0,0.0
0,2020-04-24,1.7248001,1.7248001,1.0
0,2020-04-25,1.4820316,1.4820316,1.0
0,2020-04-26,1.9451776,1.9451776,1.0
0,2020-04-27,1.3710243,0.0,0.0
0,2020-04-28,1.1578039,0.0,0.0
0,2020-04-29,1.0734048,0.0,0.0
0,2020-04-30,1.4088122,1.4088122,1.0
0,2020-05-01,2.390432,0.0,0.0
0,2020-05-02,2.0775173,2.0775173,1.0
0,2020-05-03,1.5073636,1.5073636,1.0
0,2020-05-04,1.4297782,1.4297782,1.0
0,2020-05-05,1.1140728,0.0,0.0
0,2020-05-06,1.0498261,1.0498261,1.0
0,2020-05-07,2.0381835,0.0,0.0
0,2020-05-08,2.2894547,2.2894547,1.0
0,2020-05-09,1.8572795,1.8572795,1.0
0,2020-05-10,2.1135812,2.1135812,1.0
0,2020-05-11,1.6748857,1.6748857,1.0
0,2020-05-12,1.3370367,0.0,0.0
0,2020-05-13,0.94020915,0.0,0.0
0,2020-05-14,1.7180156,0.0,0.0
