unique_id,ds,demand,sales
0,2020-01-01,0.0,0.0
0,2020-01-02,0.0,0.0
0,2020-01-03,2.9191241,2.2
0,2020-01-04,2.6413617,2.2
0,2020-01-05,1.8006625,1.8006625
0,2020-01-06,2.192933,2.192933
0,2020-01-07,2.2402802,2.2
0,2020-01-08,1.1566334,1.1566334
0,2020-01-09,2.6668313,2.2
0,2020-01-10,1.8508947,1.8508947
0,2020-01-11,2.9358883,2.2
0,2020-01-12,2.5678585,2.2
0,2020-01-13,2.2923717,2.2
0,2020-01-14,1.7347852,1.7347852
0,2020-01-15,1.2842729,1.2842729
0,2020-01-16,1.4520454,1.4520454
0,2020-01-17,2.6427212,2.2
0,2020-01-18,2.2326686,2.2
0,2020-01-19,2.0862408,2.0862408
0,2020-01-20,0.46005034,0.46005034
0,2020-01-21,1.2428008,1.2428008
0,2020-01-22,1.4245212,1.4245212
0,2020-01-23,1.2030497,1.2030497
0,2020-01-24,1.2805424,1.2805424
0,2020-01-25,2.4229975,2.2
0,2020-01-26,1.0797075,1.0797075
0,2020-01-27,1.5548354,1.5548354
0,2020-01-28,0.20896304,0.20896304
0,2020-01-29,0.0,0.0
0,2020-01-30,1.8980789,1.8980789
0,2020-01-31,2.5166836,2.2
0,2020-02-01,2.253978,2.2
0,2020-02-02,0.85243356,0.85243356
0,2020-02-03,0.6530615,0.6530615
0,2020-02-04,0.5700934,0.5700934
0,2020-02-05,0.63215446,0.63215446
0,2020-02-06,1.4544861,1.4544861
0,2020-02-07,2.3956008,2.2
0,2020-02-08,1.5386419,1.5386419
0,2020-02-09,1.7698209,1.7698209
0,2020-02-10,1.3515759,1.3515759
0,2020-02-11,0.6616827,0.6616827
0,2020-02-12,0.79206014,0.79206014
0,2020-02-13,0.9538796,0.9538796
0,2020-02-14,1.337407,1.337407
0,2020-02-15,1.7990975,1.7990975
0,2020-02-16,0.80746615,0.80746615
0,2020-02-17,0.9280613,0.9280613
0,2020-02-18,0.23145229,0.23145229
0,2020-02-19,0.97066617,0.97066617
0,2020-02-20,0.9969305,0.9969305
0,2020-02-21,1.4845254,1.4845254
0,2020-02-22,2.3757262,2.2
0,2020-02-23,2.0549362,2.0549362
0,2020-02-24,2.1107514,2.1107514
0,2020-02-25,1.3331416,1.3331416
0,2020-02-26,2.6457603,2.2
0,2020-02-27,2.5267434,2.2
0,2020-02-28,2.3375716,2.2
0,2020-02-29,3.1324732,2.2
0,2020-03-01,1.6134046,1.6134046
0,2020-03-02,1.741525,1.741525
0,2020-03-03,1.5398196,1.5398196
0,2020-03-04,1.4475021,1.4475021
0,2020-03-05,1.2815872,1.2815872
0,2020-03-06,2.1142602,2.1142602
0,2020-03-07,2.0740461,2.0740461
0,2020-03-08,1.9008603,1.9008603
0,2020-03-09,1.9902098,1.9902098
0,2020-03-10,1.5858345,1.5858345
0,2020-03-11,0.8557739,0.8557739
0,2020-03-12,1.3667302,1.3667302
0,2020-03-13,2.4580982,2.2
0,2020-03-14,2.4058008,2.2
0,2020-03-15,2.2453518,2.2
0,2020-03-16,1.5226474,1.5226474
0,2020-03-17,1.5124377,1.5124377
0,2020-03-18,1.1370656,1.1370656
0,2020-03-19,2.1427734,2.1427734
0,2020-03-20,2.3302438,2.2
0,2020-03-21,1.9461136,1.9461136
0,2020-03-22,2.0174036,2.0174036
0,2020-03-23,1.4105353,1.4105353
0,2020-03-24,0.8685379,0.8685379
0,2020-03-25,0.86426735,0.86426735
0,2020-03-26,0.40178895,0.40178895
0,2020-03-27,1.736063,1.736063
0,2020-03-28,0.5942131,0.5942131
0,2020-03-29,0.41739678,0.41739678
0,2020-03-30,0.13333601,0.13333601
0,2020-03-31,0.0,0.0
0,2020-04-01,0.0,0.0
0,2020-04-02,0.3508035,0.3508035
0,2020-04-03,1.3494194,1.3494194
0,2020-04-04,0.32188946,0.32188946
0,2020-04-05,0.0,0.0
0,2020-04-06,0.0,0.0
0,2020-04-07,0.037205905,0.037205905
0,2020-04-08,0.0,0.0
0,2020-04-09,0.3337605,0.3337605
0,2020-04-10,0.0,0.0
0,2020-04-11,1.6857933,1.6857933
0,2020-04-12,1.0461923,1.0461923
0,2020-04-13,0.18598041,0.18598041
0,2020-04-14,0.018713474,0.018713474
0,2020-04-15,0.4505962,0.4505962
0,2020-04-16,0.9862747,0.9862747
0,2020-04-17,1.167449,1.167449
0,2020-04-18,1.9284842,1.9284842
0,2020-04-19,1.8181944,1.8181944
0,2020-04-20,1.0507135,1.0507135
0,2020-04-21,0.8417028,0.8417028
0,2020-04-22,0.43753964,0.43753964
0,2020-04-23,0.9815103,0.9815103
0,2020-04-24,2.0029263,2.0029263
0,2020-04-25,2.0446472,2.0446472
0,2020-04-26,1.4220265,1.4220265
0,2020-04-27,1.3719654,1.3719654
0,2020-04-28,1.3027341,1.3027341
0,2020-04-29,1.5005108,1.5005108
0,2020-04-30,2.3010917,2.2
0,2020-05-01,2.741696,2.2
0,2020-05-02,2.3147464,2.2
0,2020-05-03,2.2868834,2.2
0,2020-05-04,1.6470048,1.6470048
0,2020-05-05,1.5694197,1.5694197
0,2020-05-06,0.8926408,0.8926408
0,2020-05-07,2.1187332,2.1187332
0,2020-05-08,2.6113002,2.2
0,2020-05-09,1.6538173,1.6538173
0,2020-05-10,1.762919,1.762919
0,2020-05-11,1.4401691,1.4401691
0,2020-05-12,0.3100381,0.3100381
0,2020-05-13,0.6859081,0.6859081
0,2020-05-14,1.7003953,1.7003953
0,2020-05-15,1.8065715,1.8065715
0,2020-05-16,2.512275,2.2
0,2020-05-17,1.3553424,1.3553424
0,2020-05-18,0.63239974,0.63239974
0,2020-05-19,0.73808897,0.73808897
0,2020-05-20,1.0046166,1.0046166
0,2020-05-21,1.3013442,1.3013442
0,2020-05-22,2.0839741,2.0839741
0,2020-05-23,2.1994884,2.1994884
0,2020-05-24,2.1089094,2.1089094
0,2020-05-25,2.1708364,2.1708364
0,2020-05-26,1.2267787,1.2267787
